question_id,question_text,reference_answer
1,What is the capital of Japan?,The capital of Japan is Tokyo.
2,Who was the first President of the United States?,The first President of the United States was George Washington.
3,What is the square root of 144?,The square root of 144 is 12.
4,Which country is known as the Land of the Rising Sun?,Japan is known as the Land of the Rising Sun.
5,What is the freezing point of water in Celsius?,The freezing point of water is 0°C.
6,Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.
7,What is the main ingredient in guacamole?,The main ingredient in guacamole is avocado.
8,Which planet is closest to the sun?,Mercury is the planet closest to the sun.
9,Who is the author of '1984'?,'1984' was written by George Orwell.
10,What is the largest mammal on Earth?,The largest mammal on Earth is the blue whale.
11,What is the smallest prime number?,The smallest prime number is 2.
12,What is the chemical symbol for gold?,The chemical symbol for gold is Au.
13,What year did the Titanic sink?,The Titanic sank in 1912.
14,What is the tallest building in the world?,The tallest building in the world is the Burj Khalifa.
15,Which country produces the most coffee in the world?,Brazil produces the most coffee in the world.
16,Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.
17,What is the longest river in the world?,The longest river in the world is the Nile.
18,Who was the first man to walk on the moon?,Neil Armstrong was the first man to walk on the moon.
19,What is the hardest natural substance on Earth?,Diamond is the hardest natural substance on Earth.
20,Who wrote 'The Great Gatsby'?,'The Great Gatsby' was written by F. Scott Fitzgerald.
21,What is the most populous country in the world?,The most populous country in the world is China.
22,Which element has the atomic number 1?,The element with atomic number 1 is Hydrogen.
23,What is the largest desert in the world?,The largest desert in the world is the Sahara.
24,What is the most spoken language in the world?,Mandarin Chinese is the most spoken language in the world.
25,What is the chemical symbol for water?,The chemical symbol for water is H2O.
26,Which organ is responsible for pumping blood in the human body?,The heart is responsible for pumping blood in the human body.
27,What is the capital city of Australia?,The capital city of Australia is Canberra.
28,Who invented the telephone?,The telephone was invented by Alexander Graham Bell.
29,What is the boiling point of water in Celsius?,The boiling point of water is 100°C.
30,What is the national animal of the United States?,The national animal of the United States is the bald eagle.
31,Which country hosted the 2016 Summer Olympics?,Brazil hosted the 2016 Summer Olympics.
32,What is the largest island in the world?,The largest island in the world is Greenland.
33,What is the main language spoken in Brazil?,The main language spoken in Brazil is Portuguese.
34,Who discovered gravity?,Gravity was discovered by Isaac Newton.
35,What is the highest grossing movie of all time?,The highest grossing movie of all time is Avatar.
36,Which planet is known as the Blue Planet?,Earth is known as the Blue Planet.
37,Who wrote 'Pride and Prejudice'?,'Pride and Prejudice' was written by Jane Austen.
38,What is the longest bone in the human body?,The longest bone in the human body is the femur.
39,Which continent is the Sahara Desert located on?,The Sahara Desert is located in Africa.
40,What is the speed of sound?,The speed of sound is approximately 343 meters per second.
41,What is the currency of the United Kingdom?,The currency of the United Kingdom is the pound sterling.
42,Who is known as the father of computers?,Charles Babbage is known as the father of computers.
43,Which country has the most pyramids?,Sudan has the most pyramids in the world.
44,What is the largest freshwater lake in the world?,The largest freshwater lake in the world is Lake Superior.
45,What is the primary ingredient in hummus?,The primary ingredient in hummus is chickpeas.
46,Who is the founder of Facebook?,Facebook was founded by Mark Zuckerberg.
47,What is the official language of China?,The official language of China is Mandarin.
48,What is the chemical formula for table salt?,The chemical formula for table salt is NaCl.
49,What is the capital of Egypt?,The capital of Egypt is Cairo.
50,Which country invented pizza?,Pizza was invented in Italy.
51,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
52,What year did World War II end?,World War II ended in 1945.
53,Who was the first female Prime Minister of the UK?,The first female Prime Minister of the UK was Margaret Thatcher.
54,Which bird is known for its ability to mimic sounds?,The bird known for its ability to mimic sounds is the parrot.
55,What is the most abundant gas in the Earth's atmosphere?,The most abundant gas in the Earth's atmosphere is nitrogen.
56,What is the capital of Canada?,The capital of Canada is Ottawa.
57,Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.
58,What is the largest city in the United States by population?,The largest city in the United States by population is New York City.
59,Which country is famous for tulips?,The Netherlands is famous for tulips.
60,What is the hottest planet in our solar system?,The hottest planet in our solar system is Venus.
61,What is the chemical symbol for oxygen?,The chemical symbol for oxygen is O.
62,What is the most populous city in the world?,The most populous city in the world is Tokyo.
63,Who was the first woman to win a Nobel Prize?,Marie Curie was the first woman to win a Nobel Prize.
64,Which country is the largest producer of tea?,China is the largest producer of tea.
65,What is the deepest ocean in the world?,The deepest ocean in the world is the Pacific Ocean.
66,What is the longest wall in the world?,The longest wall in the world is the Great Wall of China.
67,What is the national currency of Japan?,The national currency of Japan is the yen.
68,Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.
69,Which planet is known as the Evening Star?,Venus is known as the Evening Star.
70,What is the national flower of Japan?,The national flower of Japan is the cherry blossom.
